Name,Date,Year,Month,Day,Date_Decimal
Erzincan,26/12/1939,1939,12,26,1939.98516
Kocaeli,17/08/1999,1999,8,17,1999.627169
Düzce,12/11/1999,1999,11,12,1999.86347
Van,23/10/2011,2011,10,23,2011.810274
Tosya,26/11/1943,1943,11,26,1943.901826
Çanakkale,18/03/1953,1953,3,18,1953.213242
Kütahya-Gediz,28/03/1970,1970,3,28,1970.240639
Van-Muradiye,24/11/1976,1976,11,24,1976.896347
Abant Bolu,26/05/1957,1957,5,26,1957.401826
Varto,19/08/1966,1966,8,19,1966.632648
Mudurnu,22/07/1967,1967,7,22,1967.557534
Erzurum-Kars,30/10/1983,1983,10,30,1983.829452
Erzincan,13/03/1992,1992,3,13,1992.199543
Manisa,28/03/1969,1969,3,28,1969.240639
Lice,06/09/1975,1975,9,6,1975.680365
